"","year","trait","GEN","value"
"168",17,"FN","L0186",130.06713006
"169",17,"FN","L0739",247.89142307
"170",17,"FN","L0530",181.584779
"171",17,"FN","L0055",166.79775991
"172",17,"FN","L0473",107.38232373
"173",17,"FN","L0682",105.01922685
"174",17,"FN","L0809",211.13596892
"175",17,"FN","L0595",271.99991765
"176",17,"FN","L0031",203.60055419
"177",17,"FN","L0914",223.35811117
"178",17,"FN","L0084",251.17603631
"179",17,"FN","L1189",271.33975778
"180",17,"FN","L0785",234.50577068
"181",17,"FN","L1024",288.84366704
"182",17,"FN","L0564",215.62634809
"183",17,"FN","L1258",271.26987467
"184",17,"FN","L0870",215.80275077
"185",17,"FN","L0675",221.37054585
"186",17,"FN","L0945",252.56911137
"187",17,"FN","L0380",220.40975069
"188",17,"FN","L0625",218.7595214
"189",17,"FN","L0193",220.58347161
"190",17,"FN","L0006",158.66414259
"191",17,"FN","L0873",183.42478012
"192",17,"FN","L0366",181.66789806
"193",17,"FN","L1054",233.7019765
"194",17,"FN","L0759",195.39653487
"195",17,"FN","L0511",185.38422015
"196",17,"FN","L1170",168.30870331
"197",17,"FN","L0928",212.15558721
"198",17,"FN","L0891",223.45625924
"199",17,"FN","L1243",210.74315471
"200",17,"FN","L1240",186.1024781
"201",17,"FN","L0424",277.75518166
"202",17,"FN","L1023",227.39769717
"203",17,"FN","L0858",260.36993465
"204",17,"FN","L0426",281.80504998
"205",17,"FN","L1006",109.09832559
"206",17,"FN","L1340",139.1313405
"207",17,"FN","L0279",244.3627599
"208",17,"FN","L1128",232.54795422
"209",17,"FN","L0699",269.24031192
"210",17,"FN","L0910",239.78509442
"211",17,"FN","L1357",221.19554662
"212",17,"FN","L0568",204.2510096
"213",17,"FN","L0915",175.49678123
"214",17,"FN","L0224",255.44181662
"215",17,"FN","L1301",194.96950317
"216",17,"FN","L0100",166.6667636
"217",17,"FN","L0512",231.38531726
"218",17,"FN","L0243",229.87541763
"219",17,"FN","L0695",200.18730513
